# scenario=step-free
t,iq_ref,iq,id,vd,vq,omega,theta_e,duty_a,duty_b,duty_c
0.0028,0.5,0.492538,0.00101512,-0.0218771,2.90788,2.70618,0.0232955,0.489332,0.709773,0.290227
0.00285,0.5,0.492784,0.0010236,-0.0228238,2.91285,2.79609,0.0248111,0.488667,0.710121,0.289879
0.0029,0.5,0.493,0.00103118,-0.0237722,2.9178,2.88605,0.0263761,0.487981,0.710467,0.289533
0.00295,0.5,0.49319,0.00103792,-0.0247221,2.92274,2.97603,0.0279907,0.487276,0.71081,0.28919
0.003,0.5,0.493356,0.00104392,-0.0256732,2.92766,3.06605,0.0296547,0.48655,0.711151,0.288849
0.00305,0.5,0.493502,0.00104924,-0.0266254,2.93256,3.1561,0.0313683,0.485804,0.711489,0.288511
0.0031,0.5,0.49363,0.00105398,-0.0275785,2.93745,3.24616,0.0331314,0.485038,0.711826,0.288174
0.00315,0.5,0.493743,0.00105817,-0.0285324,2.94233,3.33625,0.034944,0.484252,0.71216,0.28784
0.0032,0.5,0.493842,0.00106188,-0.0294869,2.94719,3.42635,0.0368062,0.483446,0.712491,0.287509
0.00325,0.5,0.49393,0.00106516,-0.0304419,2.95205,3.51647,0.038718,0.482619,0.712821,0.287179
0.0033,0.5,0.494007,0.00106807,-0.0313974,2.9569,3.6066,0.0406793,0.481771,0.713148,0.286852
0.00335,0.5,0.494074,0.00107064,-0.0323534,2.96173,3.69674,0.0426902,0.480903,0.713473,0.286527
0.0034,0.5,0.494134,0.0010729,-0.0333097,2.96656,3.78689,0.0447507,0.480015,0.713796,0.286204
0.00345,0.5,0.494187,0.00107491,-0.0342663,2.97138,3.87704,0.0468607,0.479105,0.714116,0.285884
0.0035,0.5,0.494233,0.00107667,-0.0352232,2.9762,3.9672,0.0490204,0.478175,0.714434,0.285566
0.00355,0.5,0.494274,0.00107823,-0.0361803,2.98101,4.05736,0.0512296,0.477224,0.71475,0.28525
0.0036,0.5,0.49431,0.0010796,-0.0371376,2.98581,4.14753,0.0534884,0.476252,0.715063,0.284937
0.00365,0.5,0.494342,0.00108082,-0.038095,2.99061,4.2377,0.0557968,0.475259,0.715373,0.284627
0.0037,0.5,0.494371,0.0010819,-0.0390526,2.99541,4.32787,0.0581549,0.474245,0.715682,0.284318
0.00375,0.5,0.494396,0.00108286,-0.0400104,3.0002,4.41804,0.0605625,0.47321,0.715987,0.284013
0.0038,0.5,0.494418,0.00108369,-0.0409683,3.00499,4.50821,0.0630197,0.472154,0.71629,0.28371
0.00385,0.5,0.494437,0.00108445,-0.0419263,3.00978,4.59838,0.0655264,0.471076,0.71659,0.28341
0.0039,0.5,0.494454,0.00108512,-0.0428845,3.01456,4.68855,0.0680828,0.469977,0.716888,0.283112
0.00395,0.5,0.49447,0.00108571,-0.0438428,3.01934,4.77872,0.0706888,0.468857,0.717182,0.282818
0.004,0.5,0.494483,0.00108624,-0.0448012,3.02412,4.86889,0.0733444,0.467715,0.717474,0.282526
0.00405,0.5,0.494495,0.00108672,-0.0457597,3.0289,4.95906,0.0760496,0.466551,0.717762,0.282238
0.0041,0.5,0.494506,0.00108715,-0.0467183,3.03367,5.04922,0.0788043,0.465366,0.718047,0.281953
0.00415,0.5,0.494515,0.00108754,-0.0476771,3.03845,5.13938,0.0816087,0.464159,0.71833,0.28167
0.0042,0.5,0.494523,0.0010879,-0.0486359,3.04322,5.22954,0.0844626,0.462931,0.718608,0.281392
0.00425,0.5,0.494531,0.00108823,-0.0495949,3.04799,5.31969,0.0873661,0.461681,0.718883,0.281117
0.0043,0.5,0.494537,0.00108853,-0.050554,3.05276,5.40984,0.0903192,0.460409,0.719155,0.280845
0.00435,0.5,0.494543,0.00108882,-0.0515133,3.05753,5.49999,0.0933219,0.459115,0.719423,0.280577
0.0044,0.5,0.494548,0.00108908,-0.0524727,3.06229,5.59014,0.0963741,0.457799,0.719687,0.280313
0.00445,0.5,0.494553,0.00108934,-0.0534322,3.06706,5.68028,0.099476,0.456461,0.719948,0.280052
0.0045,0.5,0.494557,0.00108957,-0.0543918,3.07182,5.77042,0.102627,0.455101,0.720204,0.279796
0.00455,0.5,0.494561,0.00108979,-0.0553516,3.07659,5.86055,0.105828,0.453719,0.720456,0.279544
0.0046,0.5,0.494564,0.00109,-0.0563115,3.08135,5.95068,0.109079,0.452315,0.720704,0.279296
0.00465,0.5,0.494567,0.00109021,-0.0572714,3.08612,6.04081,0.112379,0.450888,0.720948,0.279052
0.0047,0.5,0.49457,0.00109041,-0.0582316,3.09088,6.13093,0.115729,0.44944,0.721187,0.278813
0.00475,0.5,0.494572,0.0010906,-0.0591919,3.09564,6.22105,0.119128,0.447969,0.721421,0.278579
0.0048,0.5,0.494574,0.00109079,-0.0601523,3.1004,6.31116,0.122577,0.446475,0.72165,0.27835
0.00485,0.5,0.494576,0.00109098,-0.0611129,3.10516,6.40127,0.126075,0.44496,0.721875,0.278125
0.0049,0.5,0.494578,0.00109115,-0.0620737,3.10992,6.49138,0.129623,0.443422,0.722095,0.277905
0.00495,0.5,0.494579,0.00109134,-0.0630344,3.11468,6.58148,0.133221,0.441861,0.722309,0.277691
0.005,0.5,0.494581,0.00109153,-0.0639955,3.11944,6.67158,0.136868,0.440278,0.722518,0.277482
0.00505,0.5,0.494582,0.00109171,-0.0649567,3.1242,6.76167,0.140564,0.438673,0.722722,0.277278
0.0051,0.5,0.494583,0.00109188,-0.065918,3.12896,6.85176,0.144311,0.437045,0.72292,0.27708
0.00514999,0.5,0.494584,0.00109207,-0.0668795,3.13372,6.94185,0.148106,0.435394,0.723112,0.276888
0.00519999,0.5,0.494585,0.00109226,-0.0678412,3.13848,7.03193,0.151952,0.433721,0.723298,0.276702
0.00524999,0.5,0.494586,0.00109243,-0.0688031,3.14323,7.122,0.155846,0.432026,0.723478,0.276522
0.00529999,0.5,0.494587,0.00109262,-0.0697651,3.14799,7.21208,0.159791,0.430308,0.723652,0.276348
0.00534999,0.5,0.494588,0.00109279,-0.0707271,3.15275,7.30215,0.163785,0.428567,0.723819,0.276181
0.00539999,0.5,0.494589,0.00109297,-0.0716894,3.1575,7.39221,0.167828,0.426804,0.72398,0.27602
0.00544999,0.5,0.494589,0.00109315,-0.0726518,3.16226,7.48227,0.171921,0.425018,0.724134,0.275866
0.00549999,0.5,0.49459,0.00109334,-0.0736144,3.16701,7.57232,0.176064,0.423209,0.724281,0.275719
0.00554999,0.5,0.49459,0.00109352,-0.0745772,3.17177,7.66237,0.180256,0.421378,0.724421,0.275579
0.00559999,0.5,0.494591,0.0010937,-0.0755402,3.17653,7.75242,0.184497,0.419524,0.724554,0.275446
0.00564999,0.5,0.494592,0.00109388,-0.0765032,3.18128,7.84246,0.188788,0.417648,0.72468,0.27532
0.00569999,0.5,0.494592,0.00109407,-0.0774665,3.18603,7.9325,0.193129,0.415749,0.724798,0.275202
0.00574999,0.5,0.494593,0.00109425,-0.07843,3.19079,8.02253,0.197519,0.413827,0.724908,0.275092
0.00579999,0.5,0.494593,0.00109443,-0.0793935,3.19554,8.11255,0.201958,0.411883,0.72501,0.27499
0.00584999,0.5,0.494594,0.00109462,-0.0803572,3.2003,8.20258,0.206448,0.409917,0.725104,0.274896
0.00589999,0.5,0.494594,0.00109481,-0.0813212,3.20505,8.2926,0.210986,0.407928,0.72519,0.27481
0.00594999,0.5,0.494594,0.001095,-0.0822853,3.2098,8.38261,0.215574,0.405916,0.725267,0.274733
0.00599999,0.5,0.494595,0.00109519,-0.0832496,3.21455,8.47262,0.220212,0.403882,0.725336,0.274664
0.00604999,0.5,0.494595,0.00109537,-0.0842141,3.21931,8.56263,0.224899,0.401826,0.725395,0.274605
0.00609999,0.5,0.494596,0.00109556,-0.0851787,3.22406,8.65263,0.229636,0.399747,0.725446,0.274554
0.00614999,0.5,0.494596,0.00109575,-0.0861434,3.22881,8.74263,0.234422,0.397646,0.725487,0.274513
0.00619999,0.5,0.494596,0.00109594,-0.0871084,3.23356,8.83262,0.239258,0.395522,0.725519,0.274481
0.00624999,0.5,0.494597,0.00109613,-0.0880735,3.23831,8.92261,0.244143,0.393377,0.725542,0.274458
0.00629999,0.5,0.494597,0.00109632,-0.0890388,3.24306,9.01259,0.249078,0.391209,0.725554,0.274446
0.00634999,0.5,0.494597,0.00109651,-0.0900041,3.24781,9.10257,0.254062,0.389019,0.725556,0.274444
0.00639999,0.5,0.494598,0.0010967,-0.0909698,3.25257,9.19255,0.259095,0.386807,0.725549,0.274451
0.00644999,0.5,0.494598,0.0010969,-0.0919356,3.25732,9.28252,0.264178,0.384574,0.72553,0.27447
0.00649999,0.5,0.494598,0.00109709,-0.0929015,3.26207,9.37249,0.269311,0.382318,0.725501,0.274499
0.00654999,0.5,0.494599,0.00109727,-0.0938678,3.26681,9.46245,0.274493,0.38004,0.725461,0.274539
0.00659999,0.5,0.494599,0.00109747,-0.0948339,3.27156,9.55241,0.279725,0.377741,0.725411,0.274589
0.00664999,0.5,0.494599,0.00109766,-0.0958003,3.27631,9.64236,0.285006,0.37542,0.725348,0.274652
0.00669999,0.5,0.4946,0.00109784,-0.096767,3.28106,9.73231,0.290336,0.373078,0.725275,0.274725
0.00674999,0.5,0.4946,0.00109803,-0.0977339,3.28581,9.82225,0.295716,0.370714,0.725189,0.274811
0.00679999,0.5,0.4946,0.00109824,-0.0987007,3.29056,9.91219,0.301146,0.368329,0.725092,0.274908
0.00684999,0.5,0.494601,0.00109842,-0.099668,3.29531,10.0021,0.306625,0.365923,0.724982,0.275018
0.00689999,0.5,0.494601,0.00109862,-0.100635,3.30006,10.0921,0.312153,0.363495,0.72486,0.27514
0.00694999,0.5,0.494601,0.00109881,-0.101603,3.3048,10.182,0.317731,0.361047,0.724726,0.275274
0.00699999,0.5,0.494602,0.001099,-0.10257,3.30955,10.2719,0.323358,0.358578,0.724578,0.275422
0.00704999,0.5,0.494602,0.0010992,-0.103538,3.3143,10.3618,0.329035,0.356088,0.724418,0.275582
0.00709999,0.5,0.494602,0.00109939,-0.104506,3.31904,10.4517,0.334761,0.353577,0.724244,0.275756
0.00714999,0.5,0.494603,0.00109959,-0.105474,3.32379,10.5416,0.340537,0.351046,0.724057,0.275943
0.00719999,0.5,0.494603,0.00109978,-0.106443,3.32853,10.6315,0.346362,0.348495,0.723856,0.276144
0.00724999,0.5,0.494603,0.00109998,-0.107411,3.33328,10.7214,0.352236,0.345924,0.723641,0.276359
