# scenario=calib
t,state,theta_e_cmd,v_d,theta_m_enc,mech_accum,id,iq
0.078001,1,0,1.04068,1.21645,0,0.180391,0.0203949
0.079001,1,0,1.05401,1.22105,0,0.184768,0.029422
0.0800011,1,0,1.06735,1.22718,0,0.188401,0.0379519
0.0810011,1,0,1.08068,1.23179,0,0.191356,0.0458621
0.0820011,1,0,1.09401,1.23792,0,0.193717,0.0530469
0.0830011,1,0,1.10735,1.24252,0,0.195582,0.0594181
0.0840011,1,0,1.12068,1.24559,0,0.197056,0.0649067
0.0850011,1,0,1.13402,1.25019,0,0.198253,0.0694616
0.0860012,1,0,1.14735,1.25326,0,0.199281,0.0730492
0.0870012,1,0,1.16068,1.25633,0,0.200246,0.075651
0.0880012,1,0,1.17402,1.25786,0,0.201248,0.0772614
0.0890012,1,0,1.18735,1.26093,0,0.202371,0.0778855
0.0900012,1,0,1.20068,1.26247,0,0.203689,0.0775365
0.0910012,1,0,1.21402,1.26247,0,0.205258,0.0762341
0.0920013,1,0,1.22735,1.264,0,0.20712,0.0740028
0.0930013,1,0,1.24068,1.264,0,0.209291,0.0710414
0.0940013,1,0,1.25402,1.264,0,0.211633,0.0697983
0.0950013,1,0,1.26735,1.26247,0,0.214074,0.0687956
0.0960013,1,0,1.28068,1.26247,0,0.216612,0.0675526
0.0970014,1,0,1.29402,1.26247,0,0.219243,0.0660587
0.0980014,1,0,1.30735,1.26247,0,0.22196,0.0643268
0.0990014,1,0,1.32069,1.26093,0,0.224757,0.0623727
0.100001,1,0,1.33402,1.26093,0,0.227622,0.0602145
0.101001,1,0,1.34735,1.2594,0,0.230546,0.0578724
0.102001,1,0,1.36069,1.25786,0,0.233517,0.0553686
0.103001,1,0,1.37402,1.25786,0,0.236522,0.0527273
0.104001,1,0,1.38735,1.25633,0,0.239551,0.0499743
0.105001,1,0,1.40069,1.2548,0,0.24259,0.047137
0.106002,1,0,1.41402,1.2548,0,0.245627,0.0442444
0.107002,1,0,1.42735,1.25326,0,0.248653,0.0413262
0.108002,1,0,1.44069,1.25173,0,0.251657,0.038413
0.109002,1,0,1.45402,1.25019,0,0.254632,0.0355357
0.110002,1,0,1.46735,1.24866,0,0.257569,0.0327251
