# scenario=openloop
t,theta_e_cmd,theta_e_true,slip,id,iq,omega
0.0425004,2.31681,2.3161,0.000708342,0.319339,0.0345562,-4.8434
0.0430004,2.51681,2.28991,0.226905,0.319162,0.0604287,-4.67797
0.0435004,2.51681,2.26485,0.251961,0.31227,0.111459,-4.41957
0.0440005,2.71681,2.2414,0.475409,0.305676,0.134153,-4.10469
0.0445005,2.71681,2.21989,0.49692,0.286525,0.179461,-3.70684
0.0450005,2.91681,2.20073,0.716082,0.274721,0.197321,-3.26163
0.0455005,2.91681,2.18418,0.732629,0.245586,0.23425,-2.74863
0.0460005,3.11681,2.17058,0.94623,0.230269,0.246404,-2.20004
0.0465005,3.11681,2.16012,0.956692,0.194012,0.273484,-1.60184
0.0470005,3.31681,2.15303,1.16378,0.176997,0.279875,-0.980741
0.0475005,3.31681,2.14944,1.16738,0.136556,0.296796,-0.328937
0.0480005,3.51681,2.14936,1.36745,0.119431,0.298256,0.259802
0.0485005,3.51681,2.15225,1.36456,0.0771685,0.306764,0.786854
0.0490005,3.71681,2.15805,1.55876,0.0607242,0.30529,1.31709
0.0495006,3.71681,2.16677,1.55004,0.0184498,0.30561,1.84739
0.0500006,3.91681,2.17839,1.73842,0.00345544,0.301093,2.37286
0.0505006,3.91681,2.19287,1.72394,-0.037294,0.294103,2.88504
0.0510006,4.11681,2.21014,1.90667,-0.0503937,0.287476,3.38608
0.0515006,4.11681,2.2301,1.88672,-0.0885625,0.274461,3.86294
0.0520006,4.31681,2.25263,2.06418,-0.0996147,0.266624,4.32425
0.0525006,4.31681,2.27762,2.03919,-0.134556,0.248823,4.75292
0.0530006,4.51681,2.3049,2.21191,-0.143619,0.24051,5.16331
0.0535006,4.51681,2.33435,2.18246,-0.174995,0.219013,5.53472
0.0540006,4.71681,2.36578,2.35104,-0.18226,0.210765,5.8864
0.0545006,4.71681,2.39903,2.31778,-0.209945,0.186472,6.19454
0.0550006,4.91681,2.4339,2.48291,-0.215668,0.178645,6.48242
0.0555007,4.91681,2.47025,2.44657,-0.23966,0.152263,6.72354
0.0560007,5.11681,2.50784,2.60897,-0.24411,0.14505,6.94449
0.0565007,5.11681,2.54654,2.57027,-0.264465,0.117112,7.11646
0.0570007,5.31681,2.5861,2.73071,-0.267889,0.110576,7.26866
0.0575007,5.31681,2.62639,2.69043,-0.284666,0.0814732,7.37036
0.0580007,5.51681,2.66715,2.84966,-0.287265,0.0755753,7.45279
0.0585007,5.51681,2.70825,2.80856,-0.300493,0.0455899,7.4837
0.0590007,5.71681,2.74945,2.96736,-0.302403,0.0402199,7.49577
0.0595007,5.71681,2.79059,2.92622,-0.31205,0.00956536,7.45562
0.0600007,5.91681,2.83143,3.08538,-0.313336,0.00456715,7.39688
0.0605007,5.91681,2.87183,3.04498,-0.319295,-0.0265772,7.28549
0.0610007,6.11681,2.91154,-3.07791,-0.319936,-0.0313818,7.15551
0.0615008,6.11681,2.95041,-3.11679,-0.322013,-0.062832,6.9727
0.0620008,0.0336256,2.9882,-2.95457,-0.321896,-0.0676183,6.77108
0.0625008,0.0336256,3.02476,-2.99114,-0.319802,-0.0991455,6.51673
0.0630008,0.233626,3.05984,-2.82622,-0.31872,-0.10406,6.2432
0.0635008,0.233626,3.0933,-2.85968,-0.312078,-0.135344,5.91747
0.0640008,0.433626,3.12489,-2.69126,-0.30972,-0.140472,5.57211
0.0645008,0.433626,3.15446,-2.72083,-0.298079,-0.171053,5.17579
0.0650008,0.633626,3.18177,-2.54814,-0.29404,-0.17638,4.75953
0.0655008,0.633626,3.20668,-2.57305,-0.276908,-0.205601,4.29454
0.0660008,0.833626,3.22895,-2.39533,-0.270706,-0.210969,3.80975
0.0665008,0.833626,3.24846,-2.41483,-0.247612,-0.237921,3.27993
0.0670008,1.03363,3.26497,-2.23135,-0.238727,-0.242978,2.73127
0.0675009,1.03363,3.27839,-2.24476,-0.209317,-0.266453,2.14324
0.0680009,1.23363,3.28849,-2.05487,-0.197263,-0.270607,1.53867
0.0685009,1.23363,3.29521,-2.06158,-0.161442,-0.289079,0.902943
0.0690009,1.43363,3.29837,-1.86475,-0.145879,-0.291474,0.254853
0.0695009,1.43363,3.29808,-1.86445,-0.104044,-0.303418,-0.322643
0.0700009,1.63363,3.29485,-1.66122,-0.0852075,-0.304009,-0.847956
0.0705009,1.63363,3.28871,-1.65508,-0.0388195,-0.308211,-1.38072
0.0710009,1.83363,3.27963,-1.44601,-0.0173655,-0.305023,-1.91269
0.0715009,1.83363,3.26766,-1.43403,0.0317466,-0.298976,-2.43457
0.0720009,2.03363,3.25285,-1.21922,0.0548572,-0.290873,-2.94429
0.0725009,2.03363,3.2353,-1.20168,0.104125,-0.273504,-3.42407
0.0730009,2.23363,3.2152,-0.981573,0.1274,-0.259917,-3.87881
0.073501,2.23363,3.19272,-0.959091,0.17361,-0.231017,-4.28307
0.074001,2.43363,3.16813,-0.734505,0.195132,-0.211964,-4.64907
0.074501,2.43363,3.1417,-0.708078,0.234732,-0.172464,-4.94531
0.075001,2.63363,3.11381,-0.480179,0.252424,-0.148739,-5.19136
0.075501,2.63363,3.08476,-0.451139,0.282035,-0.10086,-5.352
0.076001,2.83363,3.05503,-0.221402,0.294047,-0.0740715,-5.45359
0.076501,2.83363,3.02497,-0.191342,0.311054,-0.0211958,-5.45998
0.077001,3.03363,2.99508,0.0385489,0.316177,0.00642267,-5.40308
0.077501,3.03363,2.96574,0.067884,0.319245,0.0601928,-5.24857
0.078001,3.23363,2.93746,0.296167,0.317195,0.086177,-5.03195
0.078501,3.23363,2.9106,0.323029,0.306517,0.136676,-4.72301
0.079001,3.43363,2.88562,0.548007,0.297987,0.158817,-4.35837
0.0795011,3.43363,2.86284,0.570781,0.27518,0.202492,-3.91347
0.0800011,3.63363,2.84267,0.790954,0.261635,0.219243,-3.42333
0.0805011,3.63363,2.82535,0.808275,0.229332,0.253641,-2.86984
0.0810011,3.83363,2.81119,1.02244,0.212646,0.264329,-2.28387
0.0815011,3.83363,2.80036,1.03327,0.173937,0.28828,-1.65387
0.0820011,4.03363,2.79306,1.24056,0.155996,0.293072,-1.00461
0.0825011,4.03363,2.7894,1.24423,0.113903,0.306583,-0.330794
0.0830011,4.23363,2.78936,1.44426,0.0962718,0.306514,0.274566
0.0835011,4.23363,2.79237,1.44126,0.0531183,0.311586,0.813737
0.0840011,4.43363,2.79834,1.63528,0.0365024,0.308735,1.3526
0.0845011,4.43363,2.80726,1.62636,-0.00599113,0.305751,1.88558
0.0850011,4.63363,2.8191,1.81453,-0.0209121,0.300083,2.41062
0.0855012,4.63363,2.83377,1.79985,-0.0613248,0.290041,2.91691
0.0860012,4.83363,2.85119,1.98244,-0.0742004,0.282508,3.40942
0.0865012,4.83363,2.87124,1.96238,-0.111596,0.266743,3.8729
0.0870012,5.03363,2.89378,2.13984,-0.122354,0.258223,4.31865
0.0875012,5.03363,2.91869,2.11493,-0.156189,0.237978,4.72752
0.0880012,5.23362,2.94578,2.28785,-0.164947,0.22916,5.11631
0.0885012,5.23362,2.9749,2.25873,-0.19496,0.205497,5.46244
0.0890012,5.43362,3.00585,2.42778,-0.201946,0.196867,5.78735
0.0895012,5.43362,3.03847,2.39515,-0.228058,0.170645,6.06548
0.0900012,5.63362,3.07255,2.56108,-0.233541,0.162501,6.32207
0.0905012,5.63362,3.10792,2.52571,-0.255773,0.134384,6.52904
0.0910012,5.83362,3.14434,2.68928,-0.260018,0.126867,6.71465
0.0915013,5.83362,3.18167,2.65195,-0.278421,0.0973499,6.8487
0.0920013,6.03362,3.21966,2.81397,-0.281654,0.0904758,6.96178
0.0925013,6.03362,3.25814,2.77549,-0.296263,0.0599245,7.02203
0.0930013,6.23362,3.29687,2.93675,-0.298651,0.0536186,7.06173
0.0935013,6.23362,3.3357,2.89793,-0.309453,0.0223063,7.04777
0.0940013,0.150438,3.37436,3.05926,-0.311085,0.0164334,7.01357
0.0945013,0.150438,3.41272,3.0209,-0.317993,-0.0154157,6.92521
0.0950013,0.350438,3.45051,-3.10007,-0.318873,-0.0210229,6.81672
0.0955013,0.350438,3.48757,-3.13713,-0.321709,-0.0531932,6.65388
0.0960013,0.550438,3.52366,-2.97322,-0.321745,-0.0587067,6.4708
0.0965013,0.550438,3.55862,-3.00818,-0.320242,-0.0909455,6.23352
0.0970014,0.750438,3.59219,-2.84175,-0.319239,-0.0965125,5.97574
0.0975014,0.750438,3.62422,-2.87378,-0.313034,-0.128483,5.66437
0.0980014,0.950438,3.65445,-2.70401,-0.310693,-0.134192,5.33217
0.0985014,0.950438,3.68273,-2.73229,-0.299347,-0.16542,4.94771
0.0990014,1.15044,3.70882,-2.55838,-0.295269,-0.171259,4.54224
0.0995014,1.15044,3.73256,-2.58212,-0.278302,-0.201074,4.08686
0.100001,1.35044,3.75372,-2.40328,-0.272009,-0.206888,3.61073
0.100501,1.35044,3.77215,-2.42171,-0.248959,-0.234366,3.0885
0.101001,1.55044,3.78763,-2.23719,-0.239933,-0.239799,2.54664
0.101501,1.55044,3.80004,-2.24961,-0.210458,-0.263716,1.9645
0.102001,1.75044,3.80918,-2.05874,-0.198216,-0.268173,1.36516
0.102501,1.75044,3.81495,-2.06451,-0.162237,-0.286984,0.733962
0.103001,1.95044,3.8172,-1.86676,-0.146445,-0.2896,0.0898955
0.103501,1.95044,3.81616,-1.86572,-0.104426,-0.301978,-0.44711
0.104001,2.15044,3.81225,-1.66181,-0.085393,-0.30277,-0.96973
0.104501,2.15044,3.80545,-1.65501,-0.0388039,-0.307068,-1.5001
0.105001,2.35044,3.79572,-1.44528,-0.0171459,-0.303916,-2.02979
0.105501,2.35044,3.78311,-1.43267,0.0321648,-0.297836,-2.54938
0.106002,2.55044,3.76767,-1.21723,0.0554645,-0.289689,-3.05676
0.106502,2.55044,3.74952,-1.19908,0.104889,-0.27218,-3.53399
0.107002,2.75044,3.72882,-0.978379,0.128312,-0.258481,-3.98597
0.107502,2.75044,3.70575,-0.955315,0.174596,-0.229358,-4.38708
0.108002,2.95044,3.68061,-0.730166,0.1962,-0.210144,-4.74961
0.108502,2.95044,3.65363,-0.703196,0.235759,-0.170378,-5.0419
0.109002,3.15044,3.62522,-0.474778,0.253448,-0.146473,-5.28361
0.109502,3.15044,3.59568,-0.445243,0.282884,-0.0983371,-5.43944
0.110002,3.35044,3.56548,-0.215039,0.294804,-0.0713864,-5.53584
0.110502,3.35044,3.53498,-0.184542,0.31151,-0.0183168,-5.53666
0.111002,3.55044,3.50468,0.0457547,0.316464,0.00941133,-5.47391
0.111502,3.55044,3.47498,0.0754619,0.319135,0.0632657,-5.31335
0.112002,3.75044,3.44636,0.304083,0.316866,0.0892834,-5.09057
0.112502,3.75044,3.41919,0.331251,0.305744,0.139732,-4.77551
0.113002,3.95044,3.39394,0.556501,0.296977,0.161824,-4.40481
0.113502,3.95044,3.37093,0.579513,0.273733,0.205312,-3.95416
0.114002,4.15044,3.35054,0.799894,0.259968,0.221945,-3.45849
0.114502,4.15044,3.33305,0.817394,0.227278,0.256041,-2.9
0.115002,4.35044,3.31874,1.0317,0.210413,0.266561,-2.30937
0.115502,4.35044,3.30778,1.04266,0.171399,0.290131,-1.6754
0.116002,4.55044,3.30037,1.25007,0.153328,0.294734,-1.02259
0.116502,4.55044,3.29662,1.25382,0.111024,0.307823,-0.345994
0.117002,4.75044,3.29651,1.45392,0.0933155,0.307551,0.264764
0.117502,4.75044,3.29947,1.45097,0.0500482,0.312178,0.805445
0.118002,4.95044,3.3054,1.64504,0.0333976,0.309152,1.34537
0.118502,4.95044,3.31428,1.63615,-0.00912646,0.305746,1.87865
0.119002,5.15044,3.32608,1.82436,-0.0240522,0.299929,2.40359
0.119502,5.15044,3.34071,1.80973,-0.0644246,0.289492,2.90908
0.120002,5.35044,3.35808,1.99235,-0.0772858,0.281838,3.40044
0.120502,5.35044,3.37808,1.97236,-0.114584,0.265711,3.86214
0.121002,5.55044,3.40056,2.14988,-0.125319,0.257094,4.3058
0.121502,5.55044,3.42539,2.12505,-0.15901,0.23652,4.71202
0.122002,5.75044,3.45238,2.29806,-0.167741,0.227626,5.0979
0.122502,5.75044,3.48139,2.26905,-0.197573,0.203666,5.44062
0.123002,5.95044,3.51221,2.43823,-0.204533,0.194972,5.76189
0.123502,5.95044,3.54469,2.40575,-0.230432,0.16848,6.03594
0.124002,6.15044,3.57859,2.57185,-0.235891,0.160278,6.28825
0.124502,6.15044,3.61376,2.53668,-0.257879,0.131915,6.49052
0.125002,0.0672512,3.64996,2.70048,-0.262101,0.124339,6.67123
0.125502,0.0672512,3.68703,2.6634,-0.280227,0.0945954,6.80002
0.126002,0.267251,3.72473,2.8257,-0.283435,0.0876556,6.90763
0.126502,0.267251,3.7629,2.78753,-0.297731,0.0568952,6.96207
0.127002,0.467251,3.80129,2.94915,-0.300086,0.0505133,6.99575
0.127501,0.467251,3.83974,2.9107,-0.310531,0.0190105,6.97546
0.128001,0.667251,3.87799,3.07245,-0.312115,0.0130486,6.93469
0.128501,0.667251,3.91589,3.03454,-0.318613,-0.0189697,6.83948
0.129001,0.867251,3.95319,-3.08594,-0.319421,-0.0246794,6.7239
0.129501,0.867251,3.98972,-3.12247,-0.321786,-0.0569894,6.55372
0.130001,1.06725,4.02524,-2.95799,-0.321715,-0.0626169,6.36305
0.130501,1.06725,4.05958,-2.99233,-0.319668,-0.0949538,6.11801
0.131001,1.26725,4.09249,-2.82524,-0.31851,-0.10064,5.8522
0.131501,1.26725,4.12382,-2.85657,-0.311678,-0.132648,5.53273
0.132001,1.46725,4.1533,-2.68605,-0.309122,-0.13847,5.1922
0.132501,1.46725,4.1808,-2.71355,-0.297062,-0.169647,4.79946
0.133001,1.66725,4.20604,-2.53879,-0.292697,-0.175577,4.38555
0.133501,1.66725,4.2289,-2.56165,-0.274926,-0.20522,3.92197
0.134001,1.86725,4.24913,-2.38188,-0.268266,-0.211076,3.43759
0.134501,1.86725,4.26659,-2.39934,-0.244335,-0.238218,2.90763
0.135,2.06725,4.28105,-2.2138,-0.234861,-0.243616,2.35816
0.1355,2.06725,4.29241,-2.22515,-0.204457,-0.266985,1.76928
0.136,2.26725,4.30046,-2.0332,-0.191701,-0.271288,1.16358
0.1365,2.26725,4.3051,-2.03785,-0.154798,-0.289292,0.527337
0.137,2.46725,4.30622,-1.83897,-0.138463,-0.291629,-0.0947114
0.1375,2.46725,4.30427,-1.83702,-0.0956906,-0.303216,-0.612335
0.138,2.66725,4.29944,-1.63219,-0.076219,-0.303579,-1.13711
0.1385,2.66725,4.29172,-1.62447,-0.0290875,-0.306524,-1.66735
0.139,2.86725,4.28108,-1.41383,-0.0070956,-0.302725,-2.19545
0.1395,2.86725,4.26757,-1.40031,0.0424355,-0.295079,-2.71071
0.14,3.06725,4.25126,-1.18401,0.0658845,-0.286167,-3.212
0.1405,3.06725,4.23227,-1.16502,0.115099,-0.266992,-3.68019
0.141,3.26725,4.2108,-0.943546,0.138414,-0.252481,-4.12121
0.1415,3.26725,4.18703,-0.919776,0.183981,-0.221741,-4.50844
0.142,3.46725,4.16125,-0.694003,0.205172,-0.201774,-4.85524
0.1425,3.46725,4.13375,-0.666503,0.243494,-0.160625,-5.12925
0.142999,3.66725,4.10491,-0.43766,0.260472,-0.136148,-5.35114
0.143499,3.66725,4.07506,-0.407812,0.288223,-0.0870508,-5.48531
0.143999,3.86725,4.04467,-0.177419,0.299202,-0.0598197,-5.55911
0.144499,3.86725,4.01411,-0.146862,0.313933,-0.00635393,-5.53649
0.144999,4.06725,3.98388,0.0833681,0.317837,0.0212984,-5.45011
0.145499,4.06725,3.95437,0.11288,0.31846,0.0749299,-5.26621
0.145999,4.26725,3.92607,0.341179,0.315179,0.100522,-5.02071
0.146499,4.26725,3.89935,0.367904,0.302157,0.150175,-4.68429
0.146999,4.46725,3.87466,0.592596,0.292549,0.171566,-4.29353
0.147499,4.46725,3.85231,0.614946,0.267733,0.213821,-3.82503
0.147999,4.66725,3.83268,0.834572,0.253382,0.229594,-3.31329
0.148499,4.66725,3.81602,0.851236,0.219555,0.262204,-2.74143
0.148999,4.86725,3.8026,1.06465,0.202382,0.271838,-2.1394
0.149499,4.86725,3.7926,1.07465,0.162684,0.293851,-1.49691
0.149999,5.06725,3.7862,1.28105,0.144563,0.297649,-0.837446
0.150498,5.06725,3.78347,1.28378,0.101986,0.309258,-0.156958
0.150998,5.26725,3.78428,1.48297,0.0843794,0.308585,0.414669
0.151498,5.26725,3.78806,1.47919,0.0410957,0.31202,0.955848
0.151998,5.46725,3.79481,1.67244,0.0246495,0.308527,1.49509
0.152498,5.46725,3.80452,1.66273,-0.0176483,0.30399,2.02562
0.152998,5.66725,3.81711,1.85014,-0.0322976,0.297834,2.54682
0.153498,5.66725,3.83252,1.83473,-0.0722762,0.286457,3.04688
0.153998,5.86725,3.85063,2.01662,-0.0848349,0.278601,3.53209
0.154498,5.86725,3.87133,1.99592,-0.121635,0.261722,3.98631
0.154998,6.06725,3.89447,2.17278,-0.132073,0.253016,4.42204
0.155498,6.06725,3.91991,2.14734,-0.165209,0.231857,4.81932
0.155998,6.26725,3.94747,2.31978,-0.173672,0.222954,5.19601
0.156498,6.26725,3.97699,2.29026,-0.202925,0.198547,5.52879
0.156998,0.184064,4.00827,2.45898,-0.209653,0.189898,5.84001
0.157498,0.184064,4.04115,2.4261,-0.234966,0.163067,6.10349
0.157997,0.384064,4.07539,2.59186,-0.240232,0.154939,6.34518
0.158497,0.384064,4.11084,2.55641,-0.261636,0.126318,6.53647
0.158997,0.584064,4.14727,2.71998,-0.2657,0.118823,6.70621
0.159497,0.584064,4.1845,2.68275,-0.283243,0.0888829,6.82376
0.159997,0.784064,4.2223,2.84495,-0.286319,0.0820174,6.92017
0.160497,0.784064,4.26051,2.80674,-0.300028,0.0511057,6.96321
0.160997,0.984064,4.29887,2.96838,-0.302265,0.0447798,6.98552
0.161497,0.984064,4.33723,2.93002,-0.312107,0.0131621,6.9537
0.161997,1.18406,4.37533,3.09192,-0.313577,0.00723178,6.90142
0.162497,1.18406,4.41302,3.05423,-0.319442,-0.024867,6.7946
0.162997,1.38406,4.45003,-3.06597,-0.320123,-0.0305717,6.66737
0.163497,1.38406,4.48623,-3.10216,-0.321812,-0.0629238,6.48552
0.163997,1.58406,4.52133,-2.93727,-0.321585,-0.0685702,6.2831
0.164497,1.58406,4.55521,-2.97114,-0.318803,-0.100898,6.02635
0.164997,1.78406,4.58758,-2.80351,-0.317444,-0.10662,5.74875
0.165496,1.78406,4.61831,-2.83424,-0.309806,-0.138548,5.41764
0.165996,1.98406,4.64712,-2.66306,-0.306987,-0.144407,5.0654
0.166496,1.98406,4.67389,-2.68982,-0.29404,-0.175405,4.66124
0.166996,2.18406,4.69834,-2.51428,-0.289336,-0.181353,4.2359
0.167496,2.18406,4.72035,-2.53628,-0.270598,-0.210678,3.76141
0.167996,2.38406,4.73966,-2.3556,-0.263514,-0.216503,3.26623
0.168496,2.38406,4.75615,-2.37208,-0.238549,-0.24314,2.72629
0.168996,2.58406,4.76959,-2.18552,-0.228568,-0.248419,2.16714
0.169496,2.58406,4.77986,-2.1958,-0.197098,-0.271046,1.56981
0.169996,2.78406,4.78679,-2.00273,-0.183769,-0.275101,0.956242
0.170496,2.78406,4.79028,-2.00622,-0.145836,-0.292072,0.313854
0.170996,2.98406,4.7903,-1.80624,-0.128933,-0.294166,-0.263436
0.171496,2.98406,4.78742,-1.80335,-0.085348,-0.304604,-0.784591
0.171996,3.18406,4.78164,-1.59757,-0.0654135,-0.304388,-1.31168
0.172496,3.18406,4.77295,-1.58889,-0.0177348,-0.30571,-1.84148
0.172995,3.38406,4.76136,-1.37729,0.00458461,-0.301134,-2.36734
0.173495,3.38406,4.74691,-1.36285,0.0542719,-0.291661,-2.87718
0.173995,3.58406,4.72971,-1.14565,0.0778239,-0.281859,-3.37097
0.174495,3.58406,4.70988,-1.12582,0.126689,-0.260778,-3.82827
0.174995,3.78406,4.68763,-0.903564,0.149804,-0.245351,-4.25622
0.175495,3.78406,4.66316,-0.879096,0.194441,-0.212805,-4.62712
0.175995,3.98406,4.63679,-0.652721,0.215089,-0.192015,-4.95551
0.176495,3.98406,4.60879,-0.624727,0.251905,-0.149371,-5.20835
0.176995,4.18406,4.57957,-0.39551,0.268016,-0.124305,-5.40744
0.177495,4.18406,4.54949,-0.365421,0.293787,-0.0742268,-5.51692
