# scenario=haptic-endstops
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.0670008,0.332875,5.70131,0.368713,-0.00570131,0.0107515,-0.0719863,-0.0695265
0.0680009,0.339011,5.86301,0.374163,-0.00586301,0.0105457,-0.0740279,-0.0717635
0.0690009,0.345147,5.98224,0.37961,-0.00598224,0.0103392,-0.0755333,-0.0734182
0.0700009,0.351283,6.07015,0.385056,-0.00607015,0.0101319,-0.0766433,-0.0746312
0.0710009,0.357418,6.13497,0.390498,-0.00613497,0.00992397,-0.0774618,-0.0755175
0.0720009,0.363554,6.16044,0.395939,-0.00616044,0.00971527,-0.0777834,-0.0762068
0.0730009,0.36969,6.1555,0.401376,-0.0061555,0.0095058,-0.0777209,-0.0768532
0.074001,0.375826,6.12663,0.406812,-0.00612663,0.00929557,-0.0773564,-0.0779785
0.075001,0.381962,6.07854,0.412244,-0.00607854,0.00908459,-0.0767492,-0.0806427
0.076001,0.389632,6.4965,0.417674,-0.0064965,0.00841263,-0.0820265,-0.0802073
0.077001,0.395768,6.44934,0.423102,-0.00644934,0.00820008,-0.0814311,-0.0796988
0.078001,0.401904,6.39225,0.428526,-0.00639225,0.00798672,-0.0807102,-0.0792298
0.079001,0.40804,6.32642,0.433948,-0.00632642,0.00777254,-0.079879,-0.0790153
0.0800011,0.414176,6.27788,0.439368,-0.00627788,0.00755754,-0.0792661,-0.0783278
0.0810011,0.420312,6.24209,0.444784,-0.00624209,0.00734171,-0.0788142,-0.0777918
0.0820011,0.426448,6.21569,0.450198,-0.0062157,0.00712504,-0.078481,-0.0773868
0.0830011,0.432584,6.21996,0.455609,-0.00621997,0.00690752,-0.0785349,-0.0766848
0.0840011,0.43872,6.22311,0.461017,-0.00622311,0.00668913,-0.0785747,-0.0766674
0.0850011,0.443322,5.79434,0.466422,-0.00579434,0.00693007,-0.0731608,-0.0766266
0.0860012,0.449458,5.88554,0.471824,-0.00588555,0.00670992,-0.0743124,-0.0728277
0.0870012,0.45406,5.5231,0.477223,-0.0055231,0.00694908,-0.0697361,-0.0731953
0.0880012,0.460195,5.66033,0.482619,-0.00566033,0.00672714,-0.0714688,-0.0711989
0.0890012,0.464797,5.35704,0.488012,-0.00535704,0.00696448,-0.0676394,-0.0709036
0.0900012,0.470933,5.5631,0.493402,-0.0055631,0.00674069,-0.0702411,-0.0682951
0.0910012,0.475535,5.28535,0.498789,-0.00528535,0.00697617,-0.0667342,-0.0698388
0.0920013,0.480137,5.05681,0.504173,-0.00505681,0.00721069,-0.0638486,-0.0675494
0.0930013,0.486273,5.34173,0.509553,-0.00534173,0.00698408,-0.067446,-0.065238
0.0940013,0.490875,5.17125,0.514931,-0.00517125,0.00721668,-0.0652935,-0.0645812
0.0950013,0.495477,5.02321,0.520305,-0.00502321,0.00744832,-0.0634244,-0.0629437
0.0960013,0.500079,4.88726,0.525676,-0.00488726,0.00767897,-0.0617078,-0.0644
0.0970014,0.504681,4.76328,0.531043,-0.00476328,0.00790864,-0.0601424,-0.0635073
0.0980014,0.510817,5.12529,0.536407,-0.00512529,0.00767707,-0.0647132,-0.0622798
0.0990014,0.515419,5.03688,0.541768,-0.00503688,0.0079047,-0.0635969,-0.0612491
0.100001,0.520021,4.94646,0.547125,-0.00494646,0.00813131,-0.0624553,-0.0615475
0.101001,0.524623,4.8798,0.552479,-0.0048798,0.00835689,-0.0616136,-0.0606916
0.102001,0.529225,4.78151,0.557829,-0.00478151,0.00858141,-0.0603726,-0.0630208
0.103001,0.533827,4.70903,0.563176,-0.00470903,0.00880487,-0.0594575,-0.0621434
0.104001,0.539963,5.08529,0.56852,-0.00508529,0.00856707,-0.0642082,-0.0618162
0.105001,0.544565,5.00738,0.573859,-0.00500738,0.00878838,-0.0632245,-0.060961
