# scenario=haptic-curves
theta,free,spring,damped,detents12,detents_smooth,endstops
-2.49442,0,0.1,0,-0.0494277,-0.00364628,0.1
-2.49128,0,0.1,0,-0.0506844,-0.00209085,0.1
-2.48814,0,0.1,0,-0.0519411,-0.000523542,0.1
-2.485,0,0.1,0,-0.0531977,0.00104682,0.1
-2.48186,0,0.1,0,-0.0544543,0.00261108,0.1
-2.47872,0,0.1,0,-0.0557109,0.00416066,0.1
-2.47558,0,0.1,0,-0.0569675,0.00568644,0.1
-2.47243,0,0.1,0,-0.0582242,0.00717999,0.1
-2.46929,0,0.1,0,-0.0594808,0.00863274,0.1
-2.46615,0,0.1,0,-0.0607375,0.0100365,0.1
-2.46301,0,0.1,0,-0.061994,0.0113831,0.1
-2.45987,0,0.1,0,-0.0632507,0.0126652,0.1
-2.45673,0,0.1,0,-0.0645073,0.0138752,0.1
-2.45358,0,0.1,0,-0.065764,0.0150064,0.1
-2.45044,0,0.1,0,-0.0670207,0.0160523,0.1
-2.4473,0,0.1,0,-0.0682773,0.0170071,0.1
-2.44416,0,0.1,0,-0.0695339,0.0178651,0.1
-2.44102,0,0.1,0,-0.0707905,0.0186217,0.1
-2.43788,0,0.1,0,-0.0720472,0.0192724,0.1
-2.43473,0,0.1,0,-0.0733038,0.0198137,0.1
-2.43159,0,0.1,0,-0.0745605,0.0202423,0.1
-2.42845,0,0.1,0,-0.0758172,0.020556,0.1
-2.42531,0,0.1,0,-0.0770737,0.0207528,0.1
-2.42217,0,0.1,0,-0.0783304,0.0208317,0.1
-2.41903,0,0.1,0,-0.079587,0.0207922,0.1
-2.41588,0,0.1,0,-0.0808437,0.0206346,0.1
-2.41274,0,0.1,0,-0.0821003,0.0203597,0.1
-2.4096,0,0.1,0,-0.083357,0.0199692,0.1
-2.40646,0,0.1,0,-0.0846136,0.0194652,0.1
-2.40332,0,0.1,0,-0.0858702,0.0188506,0.1
-2.40018,0,0.1,0,-0.0871269,0.0181288,0.1
-2.39704,0,0.1,0,-0.0883835,0.0173041,0.1
-2.39389,0,0.1,0,-0.0896402,0.016381,0.1
-2.39075,0,0.1,0,-0.0908967,0.015365,0.1
-2.38761,0,0.1,0,-0.0921533,0.0142615,0.1
-2.38447,0,0.1,0,-0.09341,0.013077,0.1
-2.38133,0,0.1,0,-0.0946666,0.0118181,0.1
-2.37819,0,0.1,0,-0.0959233,0.0104922,0.1
-2.37504,0,0.1,0,-0.0971799,0.00910664,0.1
-2.3719,0,0.1,0,-0.0984365,0.00766942,0.1
-2.36876,0,0.1,0,-0.0996932,0.00618846,0.1
-2.36562,0,0.1,0,-0.1,0.00467234,0.1
-2.36248,0,0.1,0,-0.1,0.00312975,0.1
-2.35934,0,0.1,0,-0.1,0.00156938,0.1
-2.35619,0,0.1,0,0.1,2.98122e-09,0.1
-2.35305,0,0.1,0,0.1,-0.00156921,0.1
-2.34991,0,0.1,0,0.1,-0.00312967,0.1
-2.34677,0,0.1,0,0.1,-0.00467226,0.1
-2.34363,0,0.1,0,0.0996932,-0.00618831,0.1
-2.34049,0,0.1,0,0.0984365,-0.00766926,0.1
-2.33734,0,0.1,0,0.0971799,-0.00910664,0.1
-2.3342,0,0.1,0,0.0959233,-0.0104921,0.1
-2.33106,0,0.1,0,0.0946667,-0.0118181,0.1
-2.32792,0,0.1,0,0.09341,-0.0130769,0.1
-2.32478,0,0.1,0,0.0921534,-0.0142614,0.1
-2.32164,0,0.1,0,0.0908967,-0.0153649,0.1
-2.3185,0,0.1,0,0.08964,-0.016381,0.1
-2.31535,0,0.1,0,0.0883835,-0.0173041,0.1
-2.31221,0,0.1,0,0.0871268,-0.0181288,0.1
-2.30907,0,0.1,0,0.0858702,-0.0188506,0.1
-2.30593,0,0.1,0,0.0846135,-0.0194652,0.1
-2.30279,0,0.1,0,0.083357,-0.0199692,0.1
-2.29965,0,0.1,0,0.0821003,-0.0203597,0.1
-2.2965,0,0.1,0,0.0808437,-0.0206346,0.1
-2.29336,0,0.1,0,0.0795871,-0.0207922,0.1
-2.29022,0,0.1,0,0.0783304,-0.0208317,0.1
-2.28708,0,0.1,0,0.0770738,-0.0207528,0.1
-2.28394,0,0.1,0,0.0758171,-0.020556,0.1
-2.2808,0,0.1,0,0.0745605,-0.0202423,0.1
-2.27765,0,0.1,0,0.0733039,-0.0198137,0.1
-2.27451,0,0.1,0,0.0720472,-0.0192725,0.1
-2.27137,0,0.1,0,0.0707906,-0.0186217,0.1
-2.26823,0,0.1,0,0.0695339,-0.0178652,0.1
-2.26509,0,0.1,0,0.0682773,-0.0170071,0.1
-2.26195,0,0.1,0,0.0670206,-0.0160524,0.1
-2.25881,0,0.1,0,0.065764,-0.0150065,0.1
-2.25566,0,0.1,0,0.0645074,-0.0138753,0.1
-2.25252,0,0.1,0,0.0632507,-0.0126652,0.1
-2.24938,0,0.1,0,0.0619941,-0.0113833,0.1
-2.24624,0,0.1,0,0.0607374,-0.0100365,0.1
-2.2431,0,0.1,0,0.0594808,-0.00863275,0.1
-2.23996,0,0.1,0,0.0582242,-0.00718007,0.1
