# scenario=haptic-spring
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.0690009,0.239302,3.8129,0.322618,-0.0219839,0.024995,-0.277574,-0.281065
0.0700009,0.243904,4.02163,0.327219,-0.0226775,0.0249946,-0.286332,-0.280961
0.0710009,0.246972,3.76966,0.331816,-0.0223576,0.0254534,-0.282293,-0.285652
0.0720009,0.251574,3.98975,0.33641,-0.0230739,0.0254511,-0.291337,-0.285869
0.0730009,0.256176,4.17436,0.341001,-0.0237192,0.0254477,-0.299485,-0.293432
0.074001,0.259243,3.88228,0.345589,-0.0233192,0.0259035,-0.294434,-0.298033
0.075001,0.263845,4.07278,0.350173,-0.0239763,0.0258981,-0.302731,-0.297469
0.076001,0.266913,3.80738,0.354753,-0.0236296,0.0263519,-0.298353,-0.301783
0.077001,0.269981,3.61168,0.35933,-0.0234223,0.0268046,-0.295735,-0.29893
0.078001,0.274583,3.87326,0.363904,-0.0242215,0.0267961,-0.305827,-0.300021
0.079001,0.277651,3.66026,0.368473,-0.0239796,0.0272466,-0.302773,-0.305795
0.0800011,0.282253,3.90908,0.37304,-0.0247534,0.0272359,-0.312542,-0.306821
0.0810011,0.285321,3.68667,0.377602,-0.0244926,0.0276843,-0.30925,-0.312348
0.0820011,0.289923,3.92856,0.382161,-0.0252525,0.0276714,-0.318845,-0.313179
0.0830011,0.292991,3.70103,0.386716,-0.0249815,0.0281175,-0.315423,-0.318561
0.0840011,0.297593,3.93914,0.391267,-0.0257339,0.0281023,-0.324923,-0.319285
0.0850011,0.300661,3.70884,0.395815,-0.0254573,0.0285461,-0.321431,-0.324588
0.0860012,0.305263,3.9449,0.400358,-0.0262056,0.0285286,-0.330879,-0.325253
0.0870012,0.308331,3.73989,0.404898,-0.0259796,0.0289701,-0.328026,-0.324001
0.0880012,0.311399,3.56192,0.409433,-0.0258078,0.0294103,-0.325856,-0.328702
0.0890012,0.316001,3.83657,0.413965,-0.0266332,0.0293892,-0.336278,-0.330362
0.0900012,0.319069,3.63321,0.418492,-0.0264105,0.029827,-0.333466,-0.33642
0.0910012,0.323671,3.88913,0.423016,-0.0271985,0.0298034,-0.343415,-0.337646
0.0920013,0.326739,3.67196,0.427535,-0.0269483,0.0302388,-0.340256,-0.34332
0.0930013,0.331341,3.91771,0.43205,-0.0277159,0.0302126,-0.349948,-0.344257
0.0940013,0.334409,3.69304,0.43656,-0.0274506,0.0306454,-0.346598,-0.349719
0.0950013,0.339011,3.93325,0.441066,-0.0282071,0.0306167,-0.356151,-0.3505
0.0960013,0.342079,3.70449,0.445568,-0.0279337,0.0310469,-0.352698,-0.355845
0.0970014,0.346681,3.9417,0.450066,-0.0286842,0.0310156,-0.362175,-0.35654
0.0980014,0.349749,3.71072,0.454559,-0.0284064,0.0314432,-0.358666,-0.361823
0.0990014,0.352817,3.51808,0.459048,-0.0282052,0.0318693,-0.356126,-0.359845
0.100001,0.357418,3.80425,0.463532,-0.0290536,0.031834,-0.366838,-0.360871
0.101001,0.360486,3.60937,0.468011,-0.0288479,0.0322575,-0.364242,-0.367121
0.102001,0.365088,3.87156,0.472486,-0.0296484,0.0322194,-0.374349,-0.368516
0.103001,0.368156,3.65901,0.476956,-0.0294074,0.03264,-0.371305,-0.37432
0.104001,0.372758,3.90816,0.481422,-0.0301818,0.0325991,-0.381083,-0.37535
0.105001,0.375826,3.68599,0.485883,-0.0299216,0.0330169,-0.377797,-0.380882
0.106002,0.380428,3.92805,0.490339,-0.0306818,0.0329732,-0.387396,-0.381711
0.107002,0.383496,3.70066,0.49479,-0.0304111,0.0333881,-0.383978,-0.387094
0.108002,0.388098,3.93887,0.499236,-0.0311636,0.0333414,-0.39348,-0.387814
0.109002,0.391166,3.70864,0.503677,-0.0308872,0.0337534,-0.38999,-0.393117
0.110002,0.394234,3.51655,0.508114,-0.0306871,0.0341639,-0.387464,-0.391152
0.111002,0.398836,3.80311,0.512545,-0.0315364,0.0341127,-0.398187,-0.392186
0.112002,0.401904,3.60854,0.516972,-0.0313313,0.0345202,-0.395597,-0.398443
0.113002,0.406506,3.87094,0.521393,-0.0321322,0.034466,-0.40571,-0.399841
0.114002,0.409574,3.65855,0.525809,-0.0318915,0.0348704,-0.402671,-0.405648
0.115002,0.414176,3.90782,0.53022,-0.0326662,0.0348131,-0.412452,-0.406678
0.116002,0.417244,3.73628,0.534625,-0.0325072,0.0352144,-0.410444,-0.40476
0.117002,0.420312,3.55926,0.539026,-0.0323372,0.0356141,-0.408298,-0.411025
0.118002,0.424914,3.8346,0.543421,-0.033164,0.035552,-0.418738,-0.412758
0.119002,0.427982,3.63176,0.54781,-0.0329424,0.0359485,-0.41594,-0.418832
0.120002,0.432584,3.88806,0.552194,-0.0337312,0.0358832,-0.425898,-0.42006
0.121002,0.435652,3.72171,0.556573,-0.0335825,0.0362765,-0.424022,-0.418287
0.122002,0.43872,3.54851,0.560947,-0.0334202,0.0366681,-0.421972,-0.42466
0.123002,0.443322,3.82668,0.565314,-0.0342527,0.0365978,-0.432483,-0.426471
0.124002,0.44639,3.62592,0.569677,-0.0340352,0.0369861,-0.429737,-0.432603
0.125002,0.449458,3.43033,0.574033,-0.0338281,0.0373726,-0.427123,-0.433892
0.126002,0.45406,3.73954,0.578383,-0.0347227,0.0372971,-0.438417,-0.432322
0.127002,0.457128,3.56166,0.582728,-0.034551,0.0376801,-0.43625,-0.438941
0.128001,0.461729,3.83638,0.587067,-0.0353765,0.0376012,-0.446673,-0.440675
0.129001,0.464797,3.65987,0.5914,-0.0352076,0.0379807,-0.44454,-0.440217
0.130001,0.467865,3.50292,0.595727,-0.0350778,0.0383584,-0.442901,-0.44551
0.131001,0.472467,3.79306,0.600048,-0.0359342,0.0382742,-0.453714,-0.447595
0.132001,0.475535,3.60113,0.604364,-0.0357344,0.0386485,-0.451192,-0.453971
0.133001,0.478603,3.4596,0.608673,-0.0356354,0.0390209,-0.449942,-0.452637
0.134001,0.483205,3.76112,0.612976,-0.0365146,0.0389313,-0.461042,-0.454842
0.135,0.486273,3.57758,0.617274,-0.0363315,0.0393001,-0.458732,-0.461442
0.136,0.489341,3.41991,0.621565,-0.0362003,0.0396671,-0.457074,-0.460443
0.137,0.493943,3.73186,0.62585,-0.0371003,0.0395721,-0.468438,-0.462187
0.138,0.497011,3.55599,0.630129,-0.0369327,0.0399354,-0.466321,-0.468969
0.139,0.500079,3.37878,0.634402,-0.0367623,0.0402968,-0.46417,-0.470769
0.14,0.504681,3.70153,0.638668,-0.0376839,0.0401962,-0.475807,-0.469577
