# scenario=load
t,iq_ref,iq,tau_e,tau_load,omega,theta_m
0.00415,0.4,0.395757,0.0313443,0,5.50549,0.0108071
0.0042,0.4,0.395757,0.0313443,0,5.57608,0.0110843
0.00425,0.4,0.395758,0.0313444,0,5.64666,0.0113651
0.0043,0.4,0.395759,0.0313444,0,5.71724,0.0116494
0.00435,0.4,0.395759,0.0313445,0,5.78781,0.0119372
0.0044,0.4,0.39576,0.0313445,0,5.85838,0.0122285
0.00445,0.4,0.39576,0.0313446,0,5.92895,0.0125234
0.0045,0.4,0.395761,0.0313446,0,5.99951,0.0128217
0.00455,0.4,0.395761,0.0313446,0,6.07008,0.0131237
0.0046,0.4,0.395762,0.0313447,0,6.14063,0.0134291
0.00465,0.4,0.395762,0.0313447,0,6.21119,0.0137381
0.0047,0.4,0.395762,0.0313447,0,6.28174,0.0140506
0.00475,0.4,0.395763,0.0313448,0,6.35228,0.0143666
0.0048,0.4,0.395763,0.0313448,0,6.42283,0.0146862
0.00485,0.4,0.395763,0.0313448,0,6.49337,0.0150092
0.0049,0.4,0.395764,0.0313448,0,6.5639,0.0153358
0.00495,0.4,0.395764,0.0313448,0,6.63444,0.015666
0.005,0.4,0.395764,0.0313449,0,6.70497,0.0159996
0.00505,0.4,0.395764,0.0313449,0,6.77549,0.0163368
0.0051,0.4,0.395765,0.0313449,0,6.84602,0.0166775
0.00514999,0.4,0.395765,0.0313449,0,6.91653,0.0170218
0.00519999,0.4,0.395765,0.031345,0,6.98705,0.0173696
0.00524999,0.4,0.395766,0.031345,0,7.05756,0.0177208
0.00529999,0.4,0.395766,0.031345,0,7.12807,0.0180757
0.00534999,0.4,0.395766,0.031345,0,7.19858,0.018434
0.00539999,0.4,0.395766,0.031345,0,7.26908,0.0187959
0.00544999,0.4,0.395767,0.0313451,0,7.33958,0.0191613
0.00549999,0.4,0.395767,0.0313451,0,7.41007,0.0195302
0.00554999,0.4,0.395767,0.0313451,0,7.48056,0.0199026
0.00559999,0.4,0.395767,0.0313451,0,7.55105,0.0202786
0.00564999,0.4,0.395768,0.0313451,0,7.62153,0.0206581
0.00569999,0.4,0.395768,0.0313452,0,7.69202,0.0210411
0.00574999,0.4,0.395768,0.0313452,0,7.76249,0.0214276
0.00579999,0.4,0.395768,0.0313452,0,7.83297,0.0218177
0.00584999,0.4,0.395769,0.0313452,0,7.90344,0.0222113
0.00589999,0.4,0.395769,0.0313452,0,7.9739,0.0226084
0.00594999,0.4,0.395769,0.0313453,0,8.04437,0.023009
0.00599999,0.4,0.395769,0.0313453,0,8.11483,0.0234132
0.00604999,0.4,0.39577,0.0313453,0,8.18528,0.0238209
0.00609999,0.4,0.39577,0.0313453,0,8.25574,0.0242321
0.00614999,0.4,0.39577,0.0313453,0,8.32619,0.0246468
0.00619999,0.4,0.39577,0.0313453,0,8.39663,0.025065
0.00624999,0.4,0.39577,0.0313454,0,8.46708,0.0254868
0.00629999,0.4,0.395771,0.0313454,0,8.53752,0.0259121
0.00634999,0.4,0.395771,0.0313454,0,8.60795,0.0263409
0.00639999,0.4,0.395771,0.0313454,0,8.67838,0.0267732
0.00644999,0.4,0.395771,0.0313454,0,8.74881,0.0272091
0.00649999,0.4,0.395772,0.0313455,0,8.81924,0.0276485
0.00654999,0.4,0.395772,0.0313455,0,8.88966,0.0280914
0.00659999,0.4,0.395772,0.0313455,0,8.96008,0.0285378
0.00664999,0.4,0.395772,0.0313455,0,9.03049,0.0289877
0.00669999,0.4,0.395773,0.0313455,0,9.1009,0.0294412
0.00674999,0.4,0.395773,0.0313455,0,9.17131,0.0298982
0.00679999,0.4,0.395773,0.0313456,0,9.24172,0.0303587
0.00684999,0.4,0.395773,0.0313456,0,9.31212,0.0308227
0.00689999,0.4,0.395774,0.0313456,0,9.38252,0.0312902
0.00694999,0.4,0.395774,0.0313456,0,9.45291,0.0317613
0.00699999,0.4,0.395774,0.0313456,0,9.5233,0.0322359
0.00704999,0.4,0.395774,0.0313457,0,9.59369,0.032714
0.00709999,0.4,0.395775,0.0313457,0,9.66407,0.0331956
0.00714999,0.4,0.395775,0.0313457,0,9.73445,0.0336807
0.00719999,0.4,0.395775,0.0313457,0,9.80483,0.0341694
0.00724999,0.4,0.395775,0.0313457,0,9.8752,0.0346616
0.00729999,0.4,0.395775,0.0313457,0,9.94557,0.0351573
0.00734999,0.4,0.395776,0.0313458,0,10.0159,0.0356565
0.00739999,0.4,0.395776,0.0313458,0,10.0863,0.0361592
0.00744999,0.4,0.395776,0.0313458,0,10.1567,0.0366655
0.00749999,0.4,0.395776,0.0313458,0,10.227,0.0371752
0.00754999,0.4,0.395777,0.0313458,0,10.2974,0.0376885
0.00759999,0.4,0.395777,0.0313458,0,10.3677,0.0382053
0.00764999,0.4,0.395777,0.0313459,0,10.4381,0.0387256
0.00769999,0.4,0.395777,0.0313459,0,10.5084,0.0392495
0.00774999,0.4,0.395778,0.0313459,0,10.5787,0.0397768
0.00779999,0.4,0.395778,0.0313459,0,10.6491,0.0403077
0.00784999,0.4,0.395778,0.0313459,0,10.7194,0.0408421
0.00789999,0.4,0.395778,0.031346,0,10.7897,0.04138
0.00794999,0.4,0.395778,0.031346,0,10.8601,0.0419214
0.00799999,0.4,0.395779,0.031346,0,10.9304,0.0424663
0.00804999,0.4,0.395779,0.031346,0,11.0007,0.0430148
0.00809999,0.4,0.395779,0.031346,0,11.071,0.0435668
0.00814999,0.4,0.395779,0.031346,0,11.1413,0.0441223
0.00819999,0.4,0.39578,0.0313461,0,11.2116,0.0446813
0.00824999,0.4,0.39578,0.0313461,0,11.2819,0.0452438
0.00829999,0.4,0.39578,0.0313461,0,11.3522,0.0458098
0.00834999,0.4,0.39578,0.0313461,0,11.4225,0.0463793
0.00839999,0.4,0.395781,0.0313461,0,11.4928,0.0469524
0.00844999,0.4,0.395781,0.0313461,0,11.5631,0.047529
0.00849999,0.4,0.395781,0.0313462,0,11.6334,0.0481091
0.00854999,0.4,0.395781,0.0313462,0,11.7037,0.0486927
0.00859999,0.4,0.395781,0.0313462,0,11.774,0.0492798
0.00864999,0.4,0.395782,0.0313462,0,11.8442,0.0498704
0.00869999,0.4,0.395782,0.0313462,0,11.9145,0.0504646
0.00874999,0.4,0.395782,0.0313463,0,11.9848,0.0510622
0.00879999,0.4,0.395782,0.0313463,0,12.055,0.0516634
0.00884999,0.4,0.395783,0.0313463,0,12.1253,0.0522681
0.00889999,0.4,0.395783,0.0313463,0,12.1956,0.0528763
0.00894999,0.4,0.395783,0.0313463,0,12.2658,0.053488
0.00899999,0.4,0.395783,0.0313463,0,12.3361,0.0541032
0.00904999,0.4,0.395784,0.0313464,0,12.4063,0.0547219
0.00909999,0.4,0.395784,0.0313464,0,12.4766,0.0553442
0.00914999,0.4,0.395784,0.0313464,0,12.5468,0.0559699
0.00919999,0.4,0.395784,0.0313464,0,12.617,0.0565992
0.00924999,0.4,0.395784,0.0313464,0,12.6873,0.057232
0.00929999,0.4,0.395785,0.0313464,0,12.7575,0.0578683
0.00934999,0.4,0.395785,0.0313465,0,12.8277,0.0585081
0.00939999,0.4,0.395785,0.0313465,0,12.898,0.0591514
0.00944999,0.4,0.395785,0.0313465,0,12.9682,0.0597982
0.00949999,0.4,0.395786,0.0313465,0,13.0384,0.0604486
0.00954999,0.4,0.395786,0.0313465,0,13.1086,0.0611024
0.00959999,0.4,0.395786,0.0313466,0,13.1788,0.0617598
0.00964999,0.4,0.395786,0.0313466,0,13.249,0.0624207
0.00969999,0.4,0.395787,0.0313466,0,13.3192,0.063085
0.00974999,0.4,0.395787,0.0313466,0,13.3894,0.0637529
0.00979999,0.4,0.395787,0.0313466,0,13.4596,0.0644243
0.00984999,0.4,0.395787,0.0313466,0,13.5298,0.0650993
0.00989999,0.4,0.395788,0.0313467,0,13.6,0.0657777
0.00994999,0.4,0.395788,0.0313467,0,13.6702,0.0664596
0.00999999,0.4,0.395788,0.0313467,0,13.7404,0.067145
0.01005,0.4,0.395788,0.0313467,0,13.8106,0.067834
0.0101,0.4,0.395789,0.0313467,0,13.8807,0.0685264
0.01015,0.4,0.395789,0.0313468,0,13.9509,0.0692224
0.0102,0.4,0.395789,0.0313468,0,14.0211,0.0699219
0.01025,0.4,0.395789,0.0313468,0,14.0912,0.0706249
0.0103,0.4,0.395789,0.0313468,0,14.1614,0.0713314
0.01035,0.4,0.39579,0.0313468,0,14.2316,0.0720414
0.0104,0.4,0.39579,0.0313468,0,14.3017,0.0727549
0.01045,0.4,0.39579,0.0313469,0,14.3719,0.0734719
0.0105,0.4,0.39579,0.0313469,0,14.442,0.0741924
0.01055,0.4,0.395791,0.0313469,0,14.5122,0.0749164
0.0106,0.4,0.395791,0.0313469,0,14.5823,0.075644
0.01065,0.4,0.395791,0.0313469,0,14.6524,0.076375
0.0107,0.4,0.395791,0.0313469,0,14.7226,0.0771096
0.01075,0.4,0.395791,0.031347,0,14.7927,0.0778476
0.0108,0.4,0.395792,0.031347,0,14.8628,0.0785892
0.01085,0.4,0.395792,0.031347,0,14.9329,0.0793343
0.0109,0.4,0.395792,0.031347,0,15.0031,0.0800828
0.01095,0.4,0.395792,0.031347,0,15.0732,0.0808349
0.011,0.4,0.395793,0.0313471,0,15.1433,0.0815905
0.01105,0.4,0.395793,0.0313471,0,15.2134,0.0823496
0.0111,0.4,0.395793,0.0313471,0,15.2835,0.0831122
0.01115,0.4,0.395793,0.0313471,0,15.3536,0.0838783
0.0112,0.4,0.395794,0.0313471,0,15.4237,0.0846479
0.01125,0.4,0.395794,0.0313471,0,15.4938,0.085421
0.0113,0.4,0.395794,0.0313472,0,15.5639,0.0861976
0.01135,0.4,0.395794,0.0313472,0,15.634,0.0869778
0.0114,0.4,0.395794,0.0313472,0,15.7041,0.0877614
0.01145,0.4,0.395795,0.0313472,0,15.7742,0.0885485
0.0115,0.4,0.395795,0.0313472,0,15.8442,0.0893392
0.01155,0.4,0.395795,0.0313472,0,15.9143,0.0901333
0.0116,0.4,0.395795,0.0313473,0,15.9844,0.0909309
0.01165,0.4,0.395796,0.0313473,0,16.0545,0.0917321
0.0117,0.4,0.395796,0.0313473,0,16.1245,0.0925367
0.01175,0.4,0.395796,0.0313473,0,16.1946,0.0933449
0.0118,0.4,0.395796,0.0313473,0,16.2646,0.0941565
0.01185,0.4,0.395797,0.0313473,0,16.3347,0.0949717
0.0119,0.4,0.395797,0.0313474,0,16.4047,0.0957904
0.01195,0.4,0.395797,0.0313474,0,16.4748,0.0966125
0.012,0.4,0.395797,0.0313474,0,16.5448,0.0974382
0.01205,0.4,0.395797,0.0313474,0,16.6149,0.0982674
0.0121,0.4,0.395798,0.0313474,0,16.6849,0.0991
0.01215,0.4,0.395798,0.0313475,0,16.7549,0.0999362
0.0122,0.4,0.395798,0.0313475,0,16.825,0.100776
0.01225,0.4,0.395798,0.0313475,0,16.895,0.101619
0.0123,0.4,0.395799,0.0313475,0,16.965,0.102466
0.01235,0.4,0.395799,0.0313475,0,17.035,0.103316
0.0124,0.4,0.395799,0.0313475,0,17.105,0.10417
0.01245,0.4,0.395799,0.0313476,0,17.1751,0.105027
0.0125,0.4,0.3958,0.0313476,0,17.2451,0.105887
0.01255,0.4,0.3958,0.0313476,0,17.3151,0.106752
0.0126,0.4,0.3958,0.0313476,0,17.3851,0.107619
0.01265,0.4,0.3958,0.0313476,0,17.4551,0.10849
0.0127,0.4,0.395801,0.0313476,0,17.5251,0.109365
0.01275,0.4,0.395801,0.0313477,0,17.5951,0.110243
0.0128,0.4,0.395801,0.0313477,0,17.6651,0.111125
0.01285,0.4,0.395801,0.0313477,0,17.735,0.11201
0.0129,0.4,0.395801,0.0313477,0,17.805,0.112899
0.01295,0.4,0.395802,0.0313477,0,17.875,0.113791
0.013,0.4,0.395802,0.0313477,0,17.945,0.114687
0.01305,0.4,0.395802,0.0313478,0,18.015,0.115586
0.0131,0.4,0.395802,0.0313478,0,18.0849,0.116489
0.01315,0.4,0.395803,0.0313478,0,18.1549,0.117395
0.0132,0.4,0.395803,0.0313478,0,18.2248,0.118304
0.01325,0.4,0.395803,0.0313478,0,18.2948,0.119218
0.0133,0.4,0.395803,0.0313479,0,18.3648,0.120134
0.01335,0.4,0.395804,0.0313479,0,18.4347,0.121054
0.0134,0.4,0.395804,0.0313479,0,18.5046,0.121978
0.01345,0.4,0.395804,0.0313479,0,18.5746,0.122905
0.0135,0.4,0.395804,0.0313479,0,18.6445,0.123836
0.01355,0.4,0.395804,0.0313479,0,18.7145,0.12477
0.0136,0.4,0.395805,0.031348,0,18.7844,0.125708
0.01365,0.4,0.395805,0.031348,0,18.8543,0.126649
0.0137,0.4,0.395805,0.031348,0,18.9243,0.127593
0.01375,0.4,0.395805,0.031348,0,18.9942,0.128542
0.0138,0.4,0.395806,0.031348,0,19.0641,0.129493
0.01385,0.4,0.395806,0.031348,0,19.134,0.130448
0.0139,0.4,0.395806,0.0313481,0,19.2039,0.131407
0.01395,0.4,0.395806,0.0313481,0,19.2738,0.132369
0.014,0.4,0.395807,0.0313481,0,19.3437,0.133335
0.01405,0.4,0.395807,0.0313481,0,19.4136,0.134304
0.0141,0.4,0.395807,0.0313481,0,19.4835,0.135276
0.01415,0.4,0.395807,0.0313481,0,19.5534,0.136252
0.0142,0.4,0.395807,0.0313482,0,19.6233,0.137232
0.01425,0.4,0.395808,0.0313482,0,19.6932,0.138215
0.0143,0.4,0.395808,0.0313482,0,19.7631,0.139202
0.01435,0.4,0.395808,0.0313482,0,19.833,0.140192
0.0144,0.4,0.395808,0.0313482,0,19.9029,0.141185
0.01445,0.4,0.395809,0.0313482,0,19.9727,0.142182
0.0145,0.4,0.395809,0.0313483,0,20.0426,0.143183
0.01455,0.4,0.395809,0.0313483,0,20.1125,0.144187
0.0146,0.4,0.395809,0.0313483,0,20.1823,0.145195
0.01465,0.4,0.39581,0.0313483,0,20.2522,0.146206
0.0147,0.4,0.39581,0.0313483,0,20.3221,0.14722
0.01475,0.4,0.39581,0.0313484,0,20.3919,0.148238
0.0148,0.4,0.39581,0.0313484,0,20.4618,0.14926
0.01485,0.4,0.39581,0.0313484,0,20.5316,0.150285
0.0149,0.4,0.395811,0.0313484,0,20.6014,0.151313
0.01495,0.4,0.395811,0.0313484,0,20.6713,0.152345
0.015,0.4,0.395811,0.0313484,0,20.7411,0.153381
0.01505,0.4,0.395811,0.0313485,0,20.811,0.15442
0.0151,0.4,0.395812,0.0313485,0,20.8808,0.155462
0.01515,0.4,0.395812,0.0313485,0,20.9506,0.156508
0.0152,0.4,0.395812,0.0313485,0,21.0204,0.157558
0.01525,0.4,0.395812,0.0313485,0,21.0903,0.158611
0.0153,0.4,0.395813,0.0313485,0,21.1601,0.159667
0.01535,0.4,0.395813,0.0313486,0,21.2299,0.160727
0.0154,0.4,0.395813,0.0313486,0,21.2997,0.16179
0.01545,0.4,0.395813,0.0313486,0,21.3695,0.162857
0.0155,0.4,0.395813,0.0313486,0,21.4393,0.163928
0.01555,0.4,0.395814,0.0313486,0,21.5091,0.165001
0.0156,0.4,0.395814,0.0313486,0,21.5789,0.166079
0.01565,0.4,0.395814,0.0313487,0,21.6487,0.16716
0.0157,0.4,0.395814,0.0313487,0,21.7185,0.168244
0.01575,0.4,0.395815,0.0313487,0,21.7883,0.169332
0.0158,0.4,0.395815,0.0313487,0,21.858,0.170423
0.01585,0.4,0.395815,0.0313487,0,21.9278,0.171518
